,n_hawks,n_doves
0,0,1000
1,0,1000
2,2,998
3,3,997
4,5,995
5,6,994
6,7,993
7,7,993
8,14,986
9,12,988
10,14,986
11,19,981
12,21,979
13,32,968
14,48,952
15,53,947
16,81,919
17,99,901
18,101,899
19,118,882
20,158,842
21,184,816
22,229,771
23,244,756
24,250,750
25,284,716
26,310,690
27,360,640
28,401,599
29,411,589
30,436,564
31,464,536
32,494,506
33,507,493
34,544,456
35,550,450
36,544,456
37,562,438
38,598,402
39,609,391
40,641,359
41,644,356
42,663,337
43,678,322
44,681,319
45,696,304
46,701,299
47,704,296
48,702,298
49,717,283
50,722,278
51,730,270
52,743,257
53,740,260
54,753,247
55,769,231
56,798,202
57,803,197
58,805,195
59,801,199
60,801,199
61,815,185
62,802,198
63,794,206
64,805,195
65,775,225
66,751,249
67,746,254
68,720,280
69,715,285
70,705,295
71,730,270
72,739,261
73,753,247
74,757,243
75,765,235
76,766,234
77,794,206
78,801,199
79,791,209
80,779,221
81,792,208
82,792,208
83,784,216
84,764,236
85,756,244
86,752,248
87,743,257
88,745,255
89,717,283
90,721,279
91,742,258
92,731,269
93,727,273
94,741,259
95,719,281
96,708,292
97,715,285
98,733,267
99,735,265
100,748,252
101,764,236
102,783,217
103,786,214
104,767,233
105,777,223
106,779,221
107,770,230
108,758,242
109,747,253
110,760,240
111,727,273
112,750,250
113,745,255
114,723,277
115,717,283
116,700,300
117,698,302
118,662,338
119,653,347
120,665,335
121,686,314
122,679,321
123,680,320
124,682,318
125,676,324
126,674,326
127,664,336
128,666,334
129,685,315
130,681,319
131,670,330
132,657,343
133,671,329
134,695,305
135,699,301
136,705,295
137,727,273
138,698,302
139,693,307
140,689,311
141,676,324
142,684,316
143,667,333
144,678,322
145,661,339
146,660,340
147,665,335
148,669,331
149,668,332
150,658,342
151,643,357
152,631,369
153,638,362
154,639,361
155,635,365
156,658,342
157,658,342
158,668,332
159,662,338
160,691,309
161,681,319
162,660,340
163,671,329
164,669,331
165,639,361
166,659,341
167,677,323
168,686,314
169,709,291
170,725,275
171,735,265
172,723,277
173,719,281
174,704,296
175,714,286
176,727,273
177,714,286
178,715,285
179,705,295
180,699,301
181,677,323
182,698,302
183,695,305
184,708,292
185,710,290
186,724,276
187,743,257
188,724,276
189,715,285
190,710,290
191,733,267
192,733,267
193,708,292
194,718,282
195,718,282
196,696,304
197,724,276
198,698,302
199,694,306
200,738,262
201,731,269
202,723,277
203,731,269
204,741,259
205,742,258
206,753,247
207,739,261
208,732,268
209,741,259
210,727,273
211,702,298
212,690,310
213,680,320
214,687,313
215,666,334
216,679,321
217,695,305
218,704,296
219,692,308
220,673,327
221,686,314
222,695,305
223,669,331
224,683,317
225,688,312
226,695,305
227,709,291
228,704,296
229,711,289
230,692,308
231,703,297
232,709,291
233,711,289
234,705,295
235,712,288
236,728,272
237,728,272
238,738,262
239,723,277
240,706,294
241,709,291
242,697,303
243,695,305
244,682,318
245,684,316
246,669,331
247,672,328
248,674,326
249,663,337
250,671,329
251,671,329
252,651,349
253,633,367
254,650,350
255,641,359
256,649,351
257,641,359
258,636,364
259,660,340
260,679,321
261,685,315
262,696,304
263,696,304
264,657,343
265,659,341
266,665,335
267,659,341
268,664,336
269,633,367
270,656,344
271,653,347
272,664,336
273,670,330
274,724,276
275,751,249
276,746,254
277,740,260
278,728,272
279,713,287
280,723,277
281,713,287
282,714,286
